learning_rate = 0.05
training_epochs = 1000
batch_size = 1000 # batch size는 크면 학습량이 작다

EL_OUT_1 = 256
EL_OUT_2 = 16
HIDDEN_OUT_1 = 128
HIDDEN_OUT_2 = 64
HIDDEN_OUT_3 = 32
HIDDEN_OUT_4 = 32

BatchRun: 002 cost= 0.689414859 acc= 0.508383751

[2017-10-16 00:08:04.573595] Epoch: 0001 cost = 5.066369879
[2017-10-16 00:08:42.679498] Epoch: 0002 cost = 0.725294856
[2017-10-16 00:09:22.167491] Epoch: 0003 cost = 0.699443920
[2017-10-16 00:10:04.392400] Epoch: 0004 cost = 0.695320960
[2017-10-16 00:10:42.637954] Epoch: 0005 cost = 0.693292383
[2017-10-16 00:11:20.463596] Epoch: 0006 cost = 0.692784933
[2017-10-16 00:11:58.270999] Epoch: 0007 cost = 0.692483362
[2017-10-16 00:12:38.931490] Epoch: 0008 cost = 0.692341328
[2017-10-16 00:13:16.756267] Epoch: 0009 cost = 0.692204845
[2017-10-16 00:13:54.892501] Epoch: 0010 cost = 0.692035437
[2017-10-16 00:14:32.823667] Epoch: 0011 cost = 0.691927044
[2017-10-16 00:15:10.770610] Epoch: 0012 cost = 0.691888575
[2017-10-16 00:15:48.692889] Epoch: 0013 cost = 0.691726597
[2017-10-16 00:16:26.516712] Epoch: 0014 cost = 0.691419101
[2017-10-16 00:17:04.600239] Epoch: 0015 cost = 0.691211514
[2017-10-16 00:17:46.111210] Epoch: 0016 cost = 0.690967909
[2017-10-16 00:18:23.187251] Epoch: 0017 cost = 0.691095932
[2017-10-16 00:19:00.214378] Epoch: 0018 cost = 0.690783962
[2017-10-16 00:19:37.049528] Epoch: 0019 cost = 0.690552807
[2017-10-16 00:20:13.789406] Epoch: 0020 cost = 0.690513857
[2017-10-16 00:20:50.371360] Epoch: 0021 cost = 0.690495721
[2017-10-16 00:21:26.883636] Epoch: 0022 cost = 0.690203528
[2017-10-16 00:22:03.229842] Epoch: 0023 cost = 0.690156901
[2017-10-16 00:22:41.980022] Epoch: 0024 cost = 0.690184728
[2017-10-16 00:23:18.255020] Epoch: 0025 cost = 0.690202526
[2017-10-16 00:23:54.698005] Epoch: 0026 cost = 0.690070605
[2017-10-16 00:24:30.990935] Epoch: 0027 cost = 0.690023685
[2017-10-16 00:25:07.304346] Epoch: 0028 cost = 0.690099939
[2017-10-16 00:25:43.719306] Epoch: 0029 cost = 0.690151111
[2017-10-16 00:26:19.927567] Epoch: 0030 cost = 0.689972579
[2017-10-16 00:26:56.180116] Epoch: 0031 cost = 0.690131776
